node_id,node_type,label,type,date_added,release_year,rating,duration,description
123,category,Dramas,,,,,,
124,show,Krish Trish and Baltiboy,Movie,,2009,TV-Y7,58 min,"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."
125,person,Damandeep Singh Baggan,cast,,,,,
126,person,Smita Malhotra,cast,,,,,
127,person,Baba Sehgal,cast,,,,,
128,show,Krish Trish and Baltiboy: Battle of Wits,Movie,,2013,TV-Y7,62 min,"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
129,person,Munjal Shroff,director,,,,,
130,person,Tilak Shetty,director,,,,,
131,person,Deepak Chachra,cast,,,,,
132,show,Krish Trish and Baltiboy: Best Friends Forever,Movie,,2016,TV-Y,65 min,"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
133,show,Krish Trish and Baltiboy: Comics of India,Movie,,2012,TV-Y7,61 min,"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
134,show,Krish Trish and Baltiboy: Oversmartness Never Pays,Movie,,2017,TV-Y7,65 min,"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
135,person,Rishi Gambhir,cast,,,,,
136,show,Krish Trish and Baltiboy: Part II,Movie,,2010,TV-Y7,58 min,"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."
137,show,Krish Trish and Baltiboy: The Greatest Trick,Movie,,2013,TV-Y7,60 min,"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
138,show,Love,Movie,,2015,NR,135 min,A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
139,person,Gaspar Noé,director,,,,,
140,person,Karl Glusman,cast,,,,,
141,person,Klara Kristin,cast,,,,,
142,person,Aomi Muyock,cast,,,,,
143,person,Ugo Fox,cast,,,,,
144,person,Juan Saavedra,cast,,,,,
145,person,Gaspar Noé,cast,,,,,
146,person,Isabelle Nicou,cast,,,,,
147,person,Benoît Debie,cast,,,,,
148,person,Vincent Maraval,cast,,,,,
149,person,Déborah Révy,cast,,,,,
150,country,France,,,,,,
151,category,Cult Movies,,,,,,
152,category,Independent Movies,,,,,,
153,show,Manhattan Romance,Movie,,2014,TV-14,98 min,A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
154,person,Tom O'Brien,director,,,,,
155,person,Tom O'Brien,cast,,,,,
156,person,Katherine Waterston,cast,,,,,
157,person,Caitlin Fitzgerald,cast,,,,,
158,person,Gaby Hoffmann,cast,,,,,
159,person,Louis Cancelmi,cast,,,,,
160,person,Zach Grenier,cast,,,,,
161,category,Romantic Movies,,,,,,
162,show,Moonwalkers,Movie,,2015,R,96 min,"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
